rslssslssslsr,13,5,8,4,5,2,1,0.6153846,0.8216708
rslssslsssllrrs,15,7,8,4,4,2,1.75,0.5333334,0.7306452
rslssslsssllrsrrl,17,9,8,4,5,2,1.8,0.4705882,0.6959393
rslssslsssllrssrrsl,19,9,10,5,6,2,1.5,0.5263158,0.7438031
rslssslsssllrlrrsrl,19,11,8,4,5,2,2.2,0.4210526,0.6445048
rslssslsssllrlrrlrrsl,21,13,8,4,5,2,2.6,0.3809524,-1
rslssslsssllrlsrrssrl,21,11,10,5,6,2,1.833333,0.4761905,-1
rslssslsssllrlsrrslrrsl,23,13,10,6,7,1.666667,1.857143,0.4347826,-1
rslssslsssllrllrrsrssrl,23,13,10,5,6,2,2.166667,0.4347826,-1
rslssslsssllrllrrsrslrrsl,25,15,10,6,7,1.666667,2.142857,0.4,-1
rslssslsssllsrrss,17,7,10,5,5,2,1.4,0.5882353,0.7814295
rslssslsssllsrrlrrl,19,11,8,4,5,2,2.2,0.4210526,0.6445048
rslssslsssllsrrlsrrsl,21,11,10,6,7,1.666667,1.571429,0.4761905,-1
rslssslsssllsrsrrls,19,9,10,6,6,1.666667,1.5,0.5263158,0.7545558
rslssslsssllsrsrsrl,19,9,10,6,7,1.666667,1.285714,0.5263158,0.7688414
rslssslsssllsrsrlrrsl,21,11,10,6,7,1.666667,1.571429,0.4761905,-1
rslssslsssllsrlrrsrls,21,11,10,6,6,1.666667,1.833333,0.4761905,-1
rslssslsssllsrlrrssrl,21,11,10,5,6,2,1.833333,0.4761905,-1
rslssslsssllsrlrrslrrsl,23,13,10,6,7,1.666667,1.857143,0.4347826,-1
rslssslsssllssrrsss,19,7,12,5,5,2.4,1.4,0.6315789,0.7901981
rslssslsssllssrrslrrl,21,11,10,5,6,2,1.833333,0.4761905,-1
rslssslsssllssrrslsrrsl,23,11,12,7,8,1.714286,1.375,0.5217391,-1
rslssslsssllssrrlrrls,21,11,10,5,5,2,2.2,0.4761905,-1
rslssslsssllssrrlrsrl,21,11,10,5,6,2,1.833333,0.4761905,-1
rslssslsssllssrrlrlrrsl,23,13,10,5,6,2,2.166667,0.4347826,-1
rslssslsssllssrsrrlss,21,9,12,6,6,2,1.5,0.5714286,-1
rslssslsssllssrsrrllrrl,23,13,10,5,6,2,2.166667,0.4347826,-1
rslssslsssllssrsrrllsrrsl,25,13,12,7,8,1.714286,1.625,0.48,-1
rslssslsssllssrsrsrls,21,9,12,7,7,1.714286,1.285714,0.5714286,-1
rslssslsssllssrsrssrl,21,9,12,6,7,2,1.285714,0.5714286,-1
rslssslsssllssrsrslrrsl,23,11,12,7,8,1.714286,1.375,0.5217391,-1
rslssslsslrlr,13,7,6,3,4,2,1.75,0.4615385,0.6947477
rslssslsslsrs,13,5,8,5,5,1.6,1,0.6153846,0.834574
rslssslsslssrrl,15,7,8,4,5,2,1.4,0.5333334,0.7539785
rslssslsslsssrrsl,17,7,10,5,6,2,1.166667,0.5882353,0.796985
rslssslsslslrrsrl,17,9,8,5,6,1.6,1.5,0.4705882,0.7288425
rslssslsslslrrlrrsl,19,11,8,5,6,1.6,1.833333,0.4210526,0.6818525
rslssslsslslsrrssrl,19,9,10,6,7,1.666667,1.285714,0.5263158,0.7688414
rslssslsslslsrrslrrsl,21,11,10,7,8,1.428571,1.375,0.4761905,-1
rslssslsslsllrrsrssrl,21,11,10,6,7,1.666667,1.571429,0.4761905,-1
rslssslsslsllrrsrslrrsl,23,13,10,7,8,1.428571,1.625,0.4347826,-1
rslssslssllrrss,15,7,8,4,4,2,1.75,0.5333334,0.7306452
rslssslssllrrlrrl,17,11,6,3,4,2,2.75,0.3529412,0.5737824
rslssslssllrrlsrrsl,19,11,8,5,6,1.6,1.833333,0.4210526,0.6818525
rslssslssllrsrrls,17,9,8,5,5,1.6,1.8,0.4705882,0.7088425
rslssslssllrsrsrl,17,9,8,5,6,1.6,1.5,0.4705882,0.7288425
rslssslssllrsrlrrsl,19,11,8,5,6,1.6,1.833333,0.4210526,0.6818525
rslssslssllrlrrsrls,19,11,8,5,5,1.6,2.2,0.4210526,0.6574081
rslssslssllrlrrssrl,19,11,8,4,5,2,2.2,0.4210526,0.6445048
rslssslssllrlrrslrrsl,21,13,8,5,6,1.6,2.166667,0.3809524,-1
rslssslssllsrrsss,17,7,10,5,5,2,1.4,0.5882353,0.7814295
rslssslssllsrrslrrl,19,11,8,5,6,1.6,1.833333,0.4210526,0.6818525
rslssslssllsrrslsrrsl,21,11,10,7,8,1.428571,1.375,0.4761905,-1
rslssslssllsrrlrrls,19,11,8,5,5,1.6,2.2,0.4210526,0.6574081
rslssslssllsrrlrsrl,19,11,8,5,6,1.6,1.833333,0.4210526,0.6818525
rslssslssllsrrlrlrrsl,21,13,8,5,6,1.6,2.166667,0.3809524,-1
rslssslssllsrsrrlss,19,9,10,6,6,1.666667,1.5,0.5263158,0.7545558
rslssslssllsrsrrllrrl,21,13,8,5,6,1.6,2.166667,0.3809524,-1
rslssslssllsrsrrllsrrsl,23,13,10,7,8,1.428571,1.625,0.4347826,-1
rslssslssllsrsrsrls,19,9,10,7,7,1.428571,1.285714,0.5263158,0.776522
